Publi,publi,publius,N2/1,67859,*,Af-
Arrius,arrius,arrius,N2/1,8641,*,Af-
Arrius,arrius,arrius,N2/1,8641,*,Af-
Flavia,flauia,flauia,N1,33397,f,NpA
Flavia,flauia,flauius,N2/1,33412,*,Af-
Publius,publius,publius,N2/1,67859,*,Af-
Publius,publius,publius,N2/1,67859,*,Af-
Valentina,ualentina,ualentinum,N2,87804,n,NpB
Valentina,ualentina,ualentini,N2/1,87803,*,Af-
Ianuarias,ianuarias,ianuarius,N2/1,44635,*,Af-
Porcius,porcius,porcius,N2/1,64802,*,Af-
Porcius,porcius,porcius,N2/1,64802,*,Af-
Aniciae,aniciae,anicius,N2/1,6128,*,Af-
Saturninae,saturninae,saturnini,N2/1,73497,*,Af-
Crocale,crocale,crocale,N1,21885,f,NpA
Crocale,crocale,crocale,N1,21885,f,NpA
Hostius,hostius,hostius,N2/1,38758,*,Af-
Hostius,hostius,hostius,N2/1,38758,*,Af-
Caius,caius,caius,N2/1,13557,*,Af-
tros,tros,tros,N3B,86089,m,NpC
Aviani,auiani,auianius,N2/1,10588,*,Af-
Aviani,auiani,auianus,N2/1,10589,*,Af-
Spedio,spedio,spedius,N2/1,77660,*,Af-
Pompeiano,pompeiano,pompeianus,N2/1,64624,*,Af-
Epicurus,epicurus,epicurus,N2,29176,m,NpB
Aprilis,aprilis,aprilius,N2/1,7403,*,Af-
Aprilis,aprilis,aprilis,N3B,7402,2,NpC
Casium,casium,casium,N2,14884,n,NpB
Casium,casium,casius,N2/1,14885,*,Af-
Caesaris,caesaris,caesarus,N2,13486,m,NpB
Caesaris,caesaris,caesar,N3B,13471,m,NpC
Caesaris,caesaris,caesar,N3B,13472,m,NpC
Symphorus,symphorus,symphorus,N2,81712,m,NpB
Vitalio,uitalio,uitalio,N3B,89928,m,NpC
Vinicius,uinicius,uinicius,N2,89621,m,NpB
Sabina,sabina,sabini,N2/1,72188,*,Af-
heribus,heribus,heres,N3B,37744,m,NpC
heribus,heribus,hero,N4,37848,f,NpD
Cereales,cereales,cerealis,N3B,15790,*,NpC
Numisii,numisii,numisius,N2/1,55830,*,Af-
Martias,martias,martius,N2/1,50251,*,Af-
Ianuarius,ianuarius,ianuarius,N2/1,44635,*,Af-
Ianuarius,ianuarius,ianuarius,N2/1,44635,*,Af-
Veneriam,ueneriam,ueneria,N1,88431,f,NpA
Puteolis,puteolis,puteoli,N2,68258,m,NpB
Valerio,ualerio,ualerius,N2/1,87813,*,Af-
lali,lali,lalius,N2/1,45521,*,Af-
lali,lali,lalus,N2/1,45527,*,Af-
Stratonicus,stratonicus,stratonicus,N2,78712,m,NpB
Artorius,artorius,artorius,N2/1,8779,*,Af-
Artorius,artorius,artorius,N2/1,8779,*,Af-
Titi,titi,titus,N2,84434,m,NpB
Titi,titi,titus,N2,84435,m,NpB
Titi,titi,titius,N2/1,84411,*,Af-
Hermeros,hermeros,hermeros,N3B,37786,m,NpC
Puteolos,puteolos,puteoli,N2,68258,m,NpB
Hermerotem,hermerotem,hermeros,N3B,37786,m,NpC
Messenius,messenius,messenius,N2/1,51705,*,Af-
Messenius,messenius,messenius,N2/1,51705,*,Af-
Eunomus,eunomus,eunomus,N2,30220,m,NpB
Tiberius,tiberius,tiberius,N2/1,84126,*,Af-
Tiberius,tiberius,tiberius,N2/1,84126,*,Af-
Vettius,uettius,uettius,N2/1,89132,*,Af-
Vettius,uettius,uettius,N2/1,89132,*,Af-
Moschus,moschus,moschus,N2,53125,m,NpB
Remmius,remmius,remmius,N2/1,70294,*,Af-
Remmius,remmius,remmius,N2/1,70294,*,Af-
Verginiam,uerginiam,uerginius,N2/1,88670,*,Af-
Marcello,marcello,marcellus,N2/1,49973,*,Af-
Epaphroditum,epaphroditum,epaphrodite,N1,29060,f,NpA
Epaphroditum,epaphroditum,epaphroditus,N2,29061,m,NpB
Nicanor,nicanor,nicanor,N3B,55013,m,NpC
Tatius,tatius,tatius,N2/1,82446,*,Af-
Tatius,tatius,tatius,N2/1,82446,*,Af-
Herculanenses,herculanenses,herculanensis,N3A,37708,2,Af-
Phoebus,phoebus,phoebus,N2,63188,m,NpB
Cilix,cilix,cilix,N3B,16629,m,NpC
Euhodus,euhodus,euhodus,N2,30164,m,NpB
Lollianus,lollianus,lollianus,N2/1,47831,*,Af-
Atimetus,atimetus,atimetus,N2,9697,m,NpB
Longinus,longinus,longinus,N2,47877,m,NpB
Chie,chie,chius,N2,16323,f,NpB
Chie,chie,chius,N2/1,16322,*,Af-
Laviniam,lauiniam,lauinia,N1,46315,f,NpA
