term,unigram pos,123 ngram pos,uni vs 123 ngram
&#60;:pars,review,review,Same
i&#62;,verb,verb,Same
δ,review,review,Same
&#60;:pars,review,review,Same
ii&#62;,pronoun,pronoun,Same
rotas,review,review,Same
opera,noun,noun,Same
tenet,verb,verb,Same
arepo,review,review,Same
sator,review,review,Same
&#60;:pars,review,review,Same
iii&#62;,numeral,numeral,Same
((:venatio?,review,review,Same
aper,noun,noun,Same
et,conjunction,conjunction,Same
bestiarius?)),review,review,Same
tironis,review,review,Same
((:zig-zag)),review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
velis,noun,noun,Same
instructa)),participle,participle,Same
magistri,review,review,Same
((:rhombus,review,review,Same
et,conjunction,conjunction,Same
semicirculus)),review,review,Same
ɔ,review,review,Same
semproni,review,review,Same
((:quadrum,review,review,Same
alterum,adjective,adjective,Same
quadrum,review,review,Same
continens)),review,review,Same
si,conjunction,conjunction,Same
pudor,noun,noun,Same
lucilius,review,review,Same
lucidae,review,review,Same
nicephor,review,review,Same
holconi,review,review,Same
prima,adjective,adjective,Same
successus,review,review,Same
((:duo,review,review,Same
phalli)),review,review,Same
pvnico,review,review,Same
rura,noun,noun,Same
venis,noun,verb,NOT same
valentis,participle,participle,Same
((:vas)),review,review,Same
anthus,review,review,Same
cossini,review,review,Same
&#60;:servus&#62;,review,review,Same
numeri,review,review,Same
popidi,review,review,Same
((:circulus,review,review,Same
a,preposition,exclamation,NOT same
manu,noun,noun,Same
tractus)),participle,participle,Same
((:triangulum,review,review,Same
et,conjunction,conjunction,Same
linea)),adjective,adjective,Same
cito,adverb,adverb,Same
trofime,review,review,Same
bacchus,review,review,Same
((:duae,review,review,Same
lineae)),review,review,Same
((:quadrum,review,review,Same
cum,conjunction,conjunction,Same
lineis,review,review,Same
rete?)),review,review,Same
quintus,adjective,adjective,Same
antu[s,review,review,Same
---],review,review,Same
[---,review,review,Same
mira]bile,adjective,adjective,Same
signum,noun,noun,Same
laurentis,review,review,Same
ruris,noun,noun,Same
dorcas,review,review,Same
sollemne,review,review,Same
quicumque,pronoun,pronoun,Same
&#60;:ianua&#62;,review,review,Same
ζῇς,verb,verb,Same
ἔψυγμαι,review,review,Same
verus,adjective,adjective,Same
semis,review,review,Same
sepiricus,review,review,Same
βεινῶ,review,review,Same
δεζη,review,review,Same
euterpe,review,review,Same
terpsicore,review,review,Same
thalia,review,review,Same
gallus,noun,noun,Same
νεικήτης,review,review,Same
ἐποίει,verb,verb,Same
ετ[----]τας,review,review,Same
ε[---]+λ+λ,verb,verb,Same
((:herma,review,review,Same
viri,noun,noun,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
conversus)),participle,participle,Same
vettius,review,review,Same
((:caput,review,review,Same
hominis,noun,noun,Same
ad,preposition,preposition,Same
dext)),review,review,Same
ἀβήϲτιοϲ,review,review,Same
((:gladiator,review,review,Same
galea,review,review,Same
cristata,review,review,Same
et,conjunction,conjunction,Same
scuto,review,review,Same
armatus,noun,noun,Same
manica,review,review,Same
ocreisque,review,review,Same
indutus;,review,review,Same
thraex?)),adjective,adjective,Same
volumnios,review,review,Same
um,review,review,Same
amo,verb,verb,Same
maxime,adverb,adverb,Same
surrentinas,review,review,Same
((:verba,review,review,Same
surrentinas,review,review,Same
scripta,participle,participle,Same
in,preposition,preposition,Same
forma,noun,noun,Same
duae,adjective,adjective,Same
navium)),noun,noun,Same
quartio,review,review,Same
((:labyrinthus)),review,review,Same
((:labyrinth)),review,review,Same
ϲύμμαχος,review,review,Same
menedemerumenus,review,review,Same
narcissus,review,review,Same
chl,review,review,Same
oe,review,review,Same
va,review,review,Same
σωσᾶς,review,review,Same
καλῶϲ,review,review,Same
μαιορεϲ,review,review,Same
[---]ικα,review,review,Same
lucciae,review,review,Same
cu[---]ma,review,review,Same
[------],review,review,Same
haec,pronoun,pronoun,Same
sor+,review,review,Same
omnibus,adjective,adjective,Same
++++,review,review,Same
chloe,review,review,Same
eo,pronoun,adverb,NOT same
lucius,review,review,Same
lollius,review,review,Same
procurator,noun,noun,Same
nec,conjunction,conjunction,Same
prius,adverb,adverb,Same
absistit,review,review,Same
quam,adverb,pronoun,NOT same
septem,numeral,numeral,Same
ingentia,adjective,adjective,Same
corpora,noun,noun,Same
fundat,review,review,Same
humi,noun,noun,Same
icarus,review,review,Same
mansueta,review,review,Same
tene,verb,verb,Same
cominius,review,review,Same
accia,review,review,Same
acetabula,noun,noun,Same
((semis)),review,review,Same
((scripula?)),review,review,Same
iuniae,review,review,Same
primae,adjective,adjective,Same
mandatus,review,review,Same
munus,noun,noun,Same
voltini,review,review,Same
((mille)),review,review,Same
αβγδε,review,review,Same
clemens,review,review,Same
armaturiis,review,review,Same
publius,review,review,Same
caselicius,review,review,Same
canus,review,review,Same
thiophilus,review,review,Same
canis,noun,noun,Same
cunnum,review,review,Same
lingere,review,review,Same
noli,verb,verb,Same
puellis,noun,noun,Same
muro,noun,noun,Same
successa,review,review,Same
xvi((semis)),review,review,Same
germanus,review,review,Same
ti,review,review,Same
comnis,review,review,Same
olithus,review,review,Same
rectus,adjective,adjective,Same
amantes,noun,noun,Same
musicus,review,review,Same
bibereoptat+lig+++e+,review,review,Same
bibere,verb,verb,Same
optat,review,review,Same
ἰουκοῦνδος,review,review,Same
((:vir,review,review,Same
baculo,review,review,Same
nixus)),review,review,Same
augustus,review,review,Same
silig,review,review,Same
habenam,review,review,Same
coliculum,review,review,Same
betam,noun,noun,Same
mentam,review,review,Same
coeloe,review,review,Same
((:basis,review,review,Same
columnae)),review,review,Same
hormus,review,review,Same
ho,review,review,Same
((:palma,review,review,Same
est,verb,verb,Same
posita,participle,participle,Same
inter,preposition,preposition,Same
verba,noun,noun,Same
et,conjunction,conjunction,Same
omnia,adjective,adjective,Same
scuto,review,review,Same
cum,conjunction,conjunction,Same
hastis,noun,noun,Same
inclusa,review,review,Same
sunt)),verb,verb,Same
bacchis,review,review,Same
domina,noun,noun,Same
iucundus,adjective,adjective,Same
iusto,review,review,Same
betito,review,review,Same
decembris,noun,noun,Same
filio,noun,noun,Same
εavg,review,review,Same
catetvm++,review,review,Same
mimus,review,review,Same
((:duae,review,review,Same
naves,noun,noun,Same
cum,conjunction,conjunction,Same
velis)),noun,noun,Same
((:avis,review,review,Same
ad,preposition,preposition,Same
dext)),review,review,Same
((:lineae,review,review,Same
interscissae)),review,review,Same
ζ,review,review,Same
((:duae,review,review,Same
galeae,review,review,Same
gladiatoriae)),adjective,adjective,Same
((:rhombus)),review,review,Same
((:palma?)),review,review,Same
((:caput?)),review,review,Same
perpetue,review,review,Same
felicío,review,review,Same
gallianí,review,review,Same
latini,review,review,Same
servus,noun,noun,Same
francinianis,review,review,Same
plurimam,review,review,Same
perpetuamque,review,review,Same
plurime,review,review,Same
((:navis,review,review,Same
et,conjunction,conjunction,Same
delphinus)),review,review,Same
((:caput,review,review,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
et,conjunction,conjunction,Same
pileus)),review,review,Same
guerendus,review,review,Same
contiquere,review,review,Same
conticuere,review,review,Same
omnibu[s,review,review,Same
p]ompeianis,review,review,Same
neptunales,review,review,Same
((:verbum,review,review,Same
in,preposition,preposition,Same
forma,noun,noun,Same
navis,noun,noun,Same
scriptum)),participle,participle,Same
((:piscis)),review,review,Same
caius,review,review,Same
poppaeus,review,review,Same
habitavit,review,review,Same
hymeto,review,review,Same
phylacione,review,review,Same
amaturusque,review,review,Same
est,verb,verb,Same
aevum,noun,noun,Same
ἧς,pronoun,pronoun,Same
ἀριθμὸς,noun,noun,Same
αρα’,review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
velis?)),noun,noun,Same
((:carina,review,review,Same
navis)),noun,noun,Same
suavis,review,review,Same
nymphica,review,review,Same
publii,review,review,Same
serva,verb,verb,Same
lydia,adjective,adjective,Same
phaeder,review,review,Same
tiberii,review,review,Same
&#60;:dicunt&#62;,review,review,Same
venus,noun,noun,Same
((:quadratum,review,review,Same
lineis,review,review,Same
variis,adjective,adjective,Same
notatum,review,review,Same
vela?)),noun,noun,Same
aulus,review,review,Same
memmius,review,review,Same
((:triangulum)),review,review,Same
silvestrum,review,review,Same
((:lineae)),review,review,Same
((:duo,review,review,Same
gladiatores,noun,noun,Same
pugnantes)),participle,participle,Same
cravid+net,review,review,Same
valerius,review,review,Same
cinaedus,review,review,Same
felicula,review,review,Same
verna,review,review,Same
caes,review,review,Same
λυκρίων,review,review,Same
πυγίζει,review,review,Same
((:caput,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
marcum,review,review,Same
sindium,review,review,Same
((:figura,review,review,Same
hominis,noun,noun,Same
cum,conjunction,conjunction,Same
hasta)),noun,noun,Same
φ,review,review,Same
((:gladiator,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]ω++++ρος,review,review,Same
δικάζεται,review,review,Same
k++++++,review,review,Same
balai,review,review,Same
quati,review,review,Same
licintus,review,review,Same
faustus,review,review,Same
samatissa,review,review,Same
sarnus,review,review,Same
sextus,adjective,adjective,Same
porcius,noun,noun,Same
s,review,review,Same
venerandus,review,review,Same
ianuarius,review,review,Same
romanus,adjective,adjective,Same
aquis,noun,noun,Same
l,review,review,Same
ʾ,review,review,Same
&#60;:columna,review,review,Same
1&#62;,review,review,Same
&#60;:columna,review,review,Same
2,review,review,Same
ad,preposition,preposition,Same
perpendiculum&#62;,review,review,Same
((:scaena,review,review,Same
erotica)),review,review,Same
φιλῶ,verb,verb,Same
ἀριθμός,noun,noun,Same
[---]α,review,review,Same
((:navis,review,review,Same
velis,noun,noun,Same
et,conjunction,conjunction,Same
remis,noun,noun,Same
instructa,participle,participle,Same
et,conjunction,conjunction,Same
cum,conjunction,conjunction,Same
figura,review,review,Same
hominis)),noun,noun,Same
((:herma,review,review,Same
ad,preposition,preposition,Same
d,review,review,Same
prospiciens)),review,review,Same
ovius,review,review,Same
helpis,review,review,Same
ì,review,review,Same
θεοδομητε,review,review,Same
μ,pronoun,pronoun,Same
απατρα,review,review,Same
αἰθέριαι,review,review,Same
πτέρυγεϲ,review,review,Same
δόλιου,review,review,Same
&#60;:stria,review,review,Same
3&#62;,review,review,Same
&#60;:stria,review,review,Same
10&#62;,review,review,Same
manilius,review,review,Same
((:pars,review,review,Same
superior,adjective,adjective,Same
navis,noun,noun,Same
instructae,review,review,Same
velis,noun,noun,Same
maloque)),review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
remis,noun,noun,Same
et,conjunction,conjunction,Same
vectoribus)),review,review,Same
vos,pronoun,pronoun,Same
fortunati,review,review,Same
v---,numeral,numeral,Same
((:figura,review,review,Same
hominis,noun,noun,Same
tenens,participle,participle,Same
manu,noun,noun,Same
sinistra,noun,noun,Same
palmam,noun,noun,Same
et,conjunction,conjunction,Same
ambulans,review,review,Same
ad,preposition,preposition,Same
dextram)),review,review,Same
((:duo,review,review,Same
quadrati)),review,review,Same
ursa,review,review,Same
caprilla,review,review,Same
((:circuli,review,review,Same
circulos,noun,noun,Same
continentes,review,review,Same
circino,review,review,Same
tracti)),review,review,Same
ἐρῶ,verb,verb,Same
ω,review,review,Same
ζέον,review,review,Same
ἁρποκρᾶς,review,review,Same
saturninus,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]+tib[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
hymetus,review,review,Same
amavit,verb,verb,Same
cuius,pronoun,pronoun,Same
nomen,noun,noun,Same
euhodia,review,review,Same
υϙ’,review,review,Same
ἐφίλει,verb,verb,Same
οὗ,pronoun,adverb,NOT same
φμε’,review,review,Same
καἴμα,review,review,Same
ψοβ’,review,review,Same
cτρατονικοc,review,review,Same
stratonicus,review,review,Same
tὰς,review,review,Same
ἀλλοτρίας,adjective,adjective,Same
γυναῖκας,noun,noun,Same
βεινεῖς,review,review,Same
sed,conjunction,conjunction,Same
puto,verb,verb,Same
esse,verb,verb,Same
artificem,noun,noun,Same
maximum,adjective,adjective,Same
aedis,review,review,Same
larium,review,review,Same
iubet,verb,verb,Same
fruaris,review,review,Same
artificium,noun,noun,Same
tῶν,review,review,Same
θαλάμων,noun,noun,Same
pollice,review,review,Same
olympyonica,review,review,Same
bellicus,review,review,Same
futuit,review,review,Same
quendam,pronoun,pronoun,Same
luculentissime,review,review,Same
futui,review,review,Same
fructus,noun,noun,Same
[quid,punctuation,punctuation,Same
f]it,review,review,Same
vi,noun,noun,Same
oculi,noun,noun,Same
postquam,conjunction,conjunction,Same
deduxistis,review,review,Same
ignem,noun,noun,Same
ob,preposition,preposition,Same
vim,noun,noun,Same
vestris,adjective,adjective,Same
largificatis,review,review,Same
geneis,review,review,Same
porro,adverb,adverb,Same
possunt,verb,verb,Same
lacrumae,review,review,Same
restinguere,review,review,Same
flammam,noun,noun,Same
os,noun,noun,Same
incendunt,review,review,Same
tabificantque,review,review,Same
animum,noun,noun,Same
tiburtinus,review,review,Same
ἐποίησε,review,review,Same
decus,noun,noun,Same
centum,numeral,numeral,Same
sex,numeral,numeral,Same
〚a[+3+]〛,review,review,Same
nice,review,review,Same
((:equus,review,review,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
incedens)),review,review,Same
moderatus,review,review,Same
caniu,review,review,Same
oppi,review,review,Same
datur,verb,verb,Same
tyranopanevm+,review,review,Same
((:circulus,review,review,Same
circino,review,review,Same
tractus)),participle,participle,Same
ἄρτος,review,review,Same
((signum,review,review,Same
incertum)),review,review,Same
βομβύκιον,review,review,Same
scepsidi,review,review,Same
ara,review,review,Same
clim,review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
malo,verb,verb,Same
veloque)),review,review,Same
((:ship,review,review,Same
with,review,review,Same
mast,review,review,Same
and,review,review,Same
sail)),review,review,Same
nonaginta,review,review,Same
novem,review,review,Same
ad,preposition,preposition,Same
ner[---],review,review,Same
pithia,review,review,Same
spartitundiolo,review,review,Same
modo,adverb,adverb,Same
hac,pronoun,pronoun,Same
daphnus,review,review,Same
aegle,review,review,Same
attice,review,review,Same
fo+[+5+]annvs,review,review,Same
iixxxxx[+1+]xxxxxxxxxxxxi,review,review,Same
phoebus,noun,noun,Same
bonus,adjective,adjective,Same
fututor,review,review,Same
hinc,adverb,adverb,Same
pedibus,noun,noun,Same
detractis,review,review,Same
ἀλέξανδrος,review,review,Same
ἡγεῖνος,review,review,Same
εἶπεν,verb,verb,Same
τὸν,pronoun,pronoun,Same
ὀφθαλμὸν,noun,noun,Same
ἐν,preposition,preposition,Same
τάχει,noun,noun,Same
ἐθαραπεύθην,review,review,Same
russa,review,review,Same
cypare,review,review,Same
pelias,review,review,Same
alcestis,review,review,Same
nicedius,review,review,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
viriotal,review,review,Same
amonius,review,review,Same
servilius,noun,noun,Same
sequanus,review,review,Same
sedulatus,review,review,Same
((:duo,review,review,Same
ornamenta,noun,noun,Same
scuti)),review,review,Same
viriod,review,review,Same
+tofag,review,review,Same
+narto,review,review,Same
&#60;:columna,review,review,Same
2&#62;,review,review,Same
sextius,review,review,Same
((:medusae?,review,review,Same
caput,noun,noun,Same
prospiciens)),review,review,Same
sabina,review,review,Same
ampliatus,review,review,Same
〚+++〛,review,review,Same
or,review,review,Same
bene,adverb,adverb,Same
valeas,verb,verb,Same
qui,pronoun,pronoun,Same
futues,review,review,Same
((:equus,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
clavos,review,review,Same
ἔρως,noun,noun,Same
&#60;:ad,review,review,Same
perpendiculum&#62;,review,review,Same
o---,exclamation,exclamation,Same
mucius,review,review,Same
prim[-,review,review,Same
-,punctuation,punctuation,Same
-]ac,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]ecis,review,review,Same
((:duo,review,review,Same
pisces,noun,noun,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
conversi)),review,review,Same
+n+dvs,review,review,Same
pdicap[-]+,review,review,Same
vetr++,review,review,Same
paganis,review,review,Same
maledixi,review,review,Same
testifico,review,review,Same
vade,verb,verb,Same
age,verb,verb,Same
nate,noun,noun,Same
vocas,verb,verb,Same
zephyros,review,review,Same
venientis,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]sf[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
bellissimus,review,review,Same
((:lineae,review,review,Same
variae,review,review,Same
phallus?,review,review,Same
vela?)),noun,noun,Same
tm,review,review,Same
aybvctdsiirnqcphoinkml,review,review,Same
arva,noun,noun,Same
vadavo,review,review,Same
s²ms¹rm,review,review,Same
extersi,review,review,Same
acastus,review,review,Same
pedico,review,review,Same
((:facies)),review,review,Same
fututa,review,review,Same
sum,verb,verb,Same
stano,review,review,Same
sis,verb,verb,Same
gemma,noun,noun,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]mor[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
iulium,noun,noun,Same
ι---,review,review,Same
ias,review,review,Same
magno,adjective,adjective,Same
((:figurae,review,review,Same
duorum,adjective,adjective,Same
gladiatorum,review,review,Same
alter,adjective,adjective,Same
retiarius,review,review,Same
est,verb,verb,Same
cum,conjunction,conjunction,Same
fuscina;,review,review,Same
alter,adjective,adjective,Same
cum,conjunction,conjunction,Same
hasta,noun,noun,Same
et,conjunction,conjunction,Same
fortasse,adverb,adverb,Same
cum,conjunction,conjunction,Same
fuscina,review,review,Same
armatus,noun,noun,Same
est)),verb,verb,Same
ʾnʿm,review,review,Same
bn,review,review,Same
kz,review,review,Same
ampliandam,review,review,Same
veneriam,review,review,Same
rogamus,verb,verb,Same
nos,pronoun,pronoun,Same
mente,noun,noun,Same
habeas,verb,verb,Same
interrogamus,review,review,Same
mansi,review,review,Same
solus,adjective,noun,NOT same
ex,preposition,preposition,Same
senatus,noun,noun,Same
consulto,noun,noun,Same
ἑρμῆς,noun,noun,Same
ver,review,review,Same
placidus,review,review,Same
quem,pronoun,pronoun,Same
voluit,verb,verb,Same
((:animal,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
cineδus,review,review,Same
(:cinaedus),review,review,Same
((:taurus)),review,review,Same
dasius,review,review,Same
------,review,review,Same
ceacli,review,review,Same
valer,review,review,Same
secun,review,review,Same
amon,review,review,Same
sitio,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
scava,review,review,Same
hispanus,review,review,Same
iutto,review,review,Same
((:caput,review,review,Same
feminae)),review,review,Same
attine,review,review,Same
myrtale,review,review,Same
cassacos,review,review,Same
fellas,review,review,Same
((:gladiator,review,review,Same
ad,preposition,preposition,Same
dex,review,review,Same
eques)),noun,noun,Same
((:tres,review,review,Same
circuli,noun,noun,Same
cum,conjunction,conjunction,Same
linea)),adjective,adjective,Same
iuvari,review,review,Same
ἀναγεινώσκων,review,review,Same
αμπης,review,review,Same
+ως,review,review,Same
ἡ,pronoun,pronoun,Same
κλεῖϲ,review,review,Same
τῆϲ,review,review,Same
ἄρκλαϲ,review,review,Same
οἱ,pronoun,pronoun,Same
ante,preposition,preposition,Same
diem,noun,noun,Same
geryones,review,review,Same
trimembres,review,review,Same
senos,review,review,Same
comperendinaverunt,review,review,Same
((:venatio))),review,review,Same
((:circulus,review,review,Same
circino,review,review,Same
tractus,participle,participle,Same
et,conjunction,conjunction,Same
circulos,noun,noun,Same
floresque,review,review,Same
continens)),review,review,Same
((:folium,review,review,Same
hederae)),noun,noun,Same
+εχαλ,review,review,Same
eros,review,review,Same
psyche,review,review,Same
((:nomen,review,review,Same
psyche,review,review,Same
in,preposition,preposition,Same
medio,noun,noun,Same
corde)),noun,noun,Same
auctilius,review,review,Same
atilio,review,review,Same
casellio,review,review,Same
infelicia,review,review,Same
ὀφθαλμῶι,review,review,Same
auli,review,review,Same
iuni,review,review,Same
epagathus,review,review,Same
((:centuria?)),review,review,Same
valentinae,review,review,Same
pacatus,review,review,Same
pompeianis,adjective,adjective,Same
paeoniam,review,review,Same
((:figura,review,review,Same
hominis,noun,noun,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
callistus,review,review,Same
rufi,review,review,Same
antonius,noun,noun,Same
rustio,review,review,Same
castrensis,review,review,Same
λιαβιχτλ,review,review,Same
procame,review,review,Same
vivanius,review,review,Same
ater,review,review,Same
apriculus,review,review,Same
κέλϲα,review,review,Same
lucii,review,review,Same
liberta,review,review,Same
〚xix〛,review,review,Same
((:denarius?)),review,review,Same
ανακας,review,review,Same
α,adjective,adjective,Same
πρης,review,review,Same
λυω,review,review,Same
καρπο[---],review,review,Same
[---]ιοις,review,review,Same
αβγδ,review,review,Same
veteri,review,review,Same
memor,adjective,adjective,Same
((:venatio)),review,review,Same
πυγίζομαι,review,review,Same
lusor,review,review,Same
κίνναμοϲ,review,review,Same
curatores,review,review,Same
nuelas,review,review,Same
barnaee,review,review,Same
ne,adverb,adverb,Same
essetis,review,review,Same
viri,noun,noun,Same
boni,adjective,adjective,Same
commeatum,review,review,Same
ogintitrai[+1+]++,review,review,Same
tempus,noun,noun,Same
daretis,review,review,Same
nam,conjunction,conjunction,Same
semper,adverb,adverb,Same
negatis,review,review,Same
pan,noun,noun,Same
