645,"orno, ornare",review
685,ἐκράφη,review
686,δακτυλεις,review
687,τίς,pronoun
688,πόλεμος,noun
689,εἴπεις;,review
690,διώλεσεν;,verb
691,κοε,review
692,ολοπληθος,review
723,ὀψέ,adverb
724,ὄρος,noun
699,"accipio, accipere",review
675,"alter, altera, alterum",adjective
670,cigrotue,review
705,"contineo, continere",verb
696,"ferrum, ferri",noun
706,"flos, floris",review
662,fortasse,adverb
683,gladiatoreum,review
694,hermia,review
654,in,preposition
708,"incedo, incedere",review
678,l,review
710,lagoenas,review
718,"leo, leonis",noun
677,"locus, loci",noun
672,m,review
655,"magnus, magna, magnum",adjective
700,mars,noun
702,menedemerumenus,review
660,notas,adjective
712,"palma, palmae",review
697,palo,review
651,"pars, partis",noun
663,paruus,review
658,quadro,noun
665,quicumque,pronoun
698,"satur, satura, saturum",adjective
693,siculus,review
668,sine,preposition
719,sthenelis,review
652,"superus, supera, superum",review
664,supra,preposition
714,thymelis,review
656,"unus, una, unum",adjective
659,"varius, varia, varium",adjective
701,"vecors, vecoiis",review
673,vole,review
725,πάρις,noun
729,υτινι,review
730,ξρακυτ,review
731,γενος,review
734,ζοη,review
735,ἄγγελος,noun
736,πυγίζει,review
754,χρυσόω,review
755,δύο,numeral
756,ματακαισω,review
758,αψοε,review
759,ηθχα,review
760,εyη,review
761,ευη,review
766,φάβιος,review
768,πολaζη,review
769,//ετειμηκττονπδρι////ξο///,review
770,atτiκαις,review
772,τίτθη,review
775,πινκίρνας,review
776,πρῶτος,adjective
777,δη,review
778,λικιο,review
780,ἰσόψηφος,adjective
781,πίστις,noun
785,ἑαυτοῦ,review
786,γυνή,noun
787,ἀχάριστος,review
788,κογιτάτουϲ,review
789,ὀφθαρμίων,review
790,ἐθαραπεύ,review
791,θη,review
792,κέλϲα,review
796,αβγδεζηθικλμ,review
797,δεζη,review
799,ἀνατολή,review
801,ἀνατολῆς),review
806,πυγίσε,review
807,ἀναγινό<sup>σ</sup>κοντα,review
800,(or,review
741,"a, ab",exclamation
808,anicete,review
743,"assulto, assultare",review
742,"canis, canis",noun
744,"castrensis, castrensiis",review
805,comedant,review
811,"crista, cristae",review
746,"eques, equitis",noun
765,fello,review
753,"florus, flora, florum",review
750,"hortus, horti",review
738,ianua,noun
794,"libertus, liberti",noun
762,nonaginta,review
748,"pedico, pedicare",review
737,surus,review
804,"ursus, ursi",noun
809,"valeo, valere",review
739,"vasum, vasi",noun
163,"animal, animalis",noun
119,"armo, armare",review
106,catedra,review
164,ceruus,review
131,circularis,review
134,cressa,review
155,dex,review
127,"eroticus, erotica, eroticum",review
116,et,conjunction
108,"galea, galeae",review
109,gladiatorius,review
115,"gladius, gladia, gladium",noun
128,helpis,review
105,in,preposition
173,interscissae,review
130,labyrinthus,review
172,"linea, lineae",adjective
118,"longus, longa, longum",adjective
98,"navo, navare",review
158,panta,review
103,pascela,review
176,phallus,review
166,quis,pronoun
104,quisquis,pronoun
126,"scaena, scaenae",noun
117,"scutum, scuti",noun
92,sui,adjective
168,"taurus, tauri",noun
162,"tres, triis",numeral
160,"venio, venire",verb
170,"victoria, victoriae",noun
95,καταχ,review
99,φιλέω,review
100,ἵημι,review
101,ἀριθμός,noun
102,τνα,review
111,εἰ,conjunction
112,γνώμων,noun
113,τόπος,noun
120,μῆλον,noun
121,ἡδονά,review
122,λόγος,noun
123,ὄνομα,noun
124,νέω,review
137,ὅς,pronoun
138,<ἀ>ριθμὸς,review
139,ατη,review
141,ωδι,review
142,νωζ,review
144,μιμέομαι,review
146,ἐξώλης,review
147,ἀδελφός,review
148,ἀναγιγνώσκω,review
152,ενοηγας,review
157,θ,review
159,/δφξβ,review
169,τάφος,noun
177,ζήτημα,noun
850,((semis)),review
853,(:cllerigenes?),review
828,"ancora, ancorae",noun
838,apello,review
837,aplustre,review
886,"carpo, carpere",review
851,clleri,review
878,cornutus,review
817,crusal,review
839,"cubicularius, cubicularia, cubicularium",review
840,cum,conjunction
876,curuus,review
841,"dexter, dextra, dextrum",review
875,"dirigo, dirigere",review
871,diverto,review
819,et,conjunction
833,galeatus,adjective
868,gubernaculis,review
831,hercolanius,review
872,"imago, imaginis",noun
824,is,pronoun
844,"iucundus, iucunda, iucundum",adjective
880,"malus, mala, malum",adjective
823,mercurius,noun
830,"mortuus, mortua, mortuum",adjective
883,nequam,adjective
822,petasatus,review
843,pranderunt,review
826,procul,adverb
836,"prora, prorae",review
825,"prosequor, prosequi",review
855,rudo,review
816,"secundus, secunda, secundum",adjective
818,seruus,review
845,simul,adverb
861,"umerus, umeri",review
857,vel,adverb
864,"venator, venatoris",review
896,moeɔcia,review
914,ʾ,review
925,λυκρίων,review
931,ad,preposition
938,aebuti,review
953,"aeneus, aenea, aeneum",review
971,aprilis,review
940,aquarius,review
979,augustal,review
956,basim,review
934,"basis, basis",review
948,"candelabrum, candelabri",noun
919,cereal,review
978,"colonus, coloni",review
893,"consultum, consulti",noun
920,cumis,noun
890,dequi,review
970,"dominus, domini",noun
941,dua,review
945,duo,adjective
976,e,preposition
892,ex,preposition
900,"facio, facere",verb
961,"ferreus, ferrea, ferreum",review
967,fuminaria,review
924,"genius, genii",noun
958,gutos,review
963,haenas,review
944,hama,review
954,hamula,review
911,ius,noun
952,"lucerna, lucernae",noun
950,lucubratorium,review
912,"lumen, luminis",noun
957,luterem,review
894,"maneo, manere",review
943,"manus, manus",noun
898,"mare, maris",noun
965,marmorem,review
887,mmmmus,review
910,ne,adverb
908,neque,review
902,"omnis, omniis",adjective
936,ornamentae,review
921,ovas,review
955,pelvis,review
977,pompeiano,review
930,pondo,adverb
949,quattuor,numeral
903,"res, rei",noun
968,saluia,review
913,saluus,review
937,scala,review
960,scapheola,review
909,seruo,review
895,"solus, sola, solum",noun
973,spedio,review
962,strig(i)les,review
969,"superbus, superba, superbum",adjective
918,"suus, sua, suum",adjective
915,tbt,review
959,"tres, triis",numeral
904,"tuus, tua, tuum",adjective
951,"unus, una, unum",adjective
947,"urceolus, urceoli",review
922,vectat,review
926,vol,review
999,ἄρτος,review
1061,ἑρμῆς,review
1064,αβγδεζηθ,review
1065,vìctoria,review
1066,ìnuicta,review
1027,(assibus),review
1041,Faustus,review
1033,"acutus, acuta, acutum",adjective
1073,"aer, aeris",noun
990,"amo, amare",verb
1070,"amplio, ampliare",review
1062,aniceti,review
1057,asbestus,review
1006,atineo,review
1004,"augustus, augusta, augustum",review
1026,"bibo, bibere",review
1046,bis,adverb
1069,cassacos,review
995,castrum,review
1022,"cinaedus, cinaedi",review
1052,"como, comere",review
1035,"corona, coronae",noun
985,"fatuus, fatua, fatuum",review
983,felicitius,review
1016,"fio, fire",review
1055,foliatus,review
1044,"forma, formae",noun
1056,futuo,review
993,"habito, habitare",review
1063,he,review
991,"hilarus, hilara, hilarum",review
1002,"incertus, incerta, incertum",review
1003,kalendae,review
1021,lusor,review
1018,"magnus, magna, magnum",adjective
981,morior,review
1068,myrtal,review
1034,"nasus, nasi",review
1045,navis,noun
1013,"nescio, nescire",verb
1040,"nomen, nominis",noun
1005,nona,review
1038,nothus,review
1025,nuces,review
1030,ofella,review
1029,"panis, panis",noun
1015,paruus,review
1050,"pedica, pedicae",review
1048,phyl,review
1010,pisu,review
1007,quartu,review
1011,quinque,numeral
1023,"quintus, quinta, quintum",adjective
1043,"scribo, scribere",review
1001,"signum, signi",noun
1028,"singulus, singula, singulum",review
997,sub,preposition
1031,thymatula,review
982,tomi,review
1012,tutaris,review
1053,urosacula,review
1051,ut,conjunction
992,vasileus,review
1024,vettius,review
1014,"vivo, vivere",noun
1085,bλ,review
1116,ἁρποκρᾶς,review
1120,αβγδεζηθικλμνξοπρστυφχψω,review
1127,αβγδε,review
1146,l̅u̅,review
1087,abellanus,review
1135,aluntius,review
1129,aulis,review
1094,"camelus, cameli",review
1096,"cauda, caudae",noun
1126,cilix,review
1159,"claudus, clauda, claudum",review
1104,contaceo,review
1122,coruenius,review
1079,"cuneus, cunea, cuneum",review
1095,"dromedarius, dromedarii",review
1152,"erigo, erigere",review
1107,etoen,review
1091,"felix, feliis",adjective
1083,filicula,review
1106,gebeum,review
1112,genial,review
1092,"germanus, germana, germanum",review
1098,"gero, gerere",review
1113,"gladiator, gladiatoris",noun
1115,herculani,review
1133,"instrumentum, instrumenti",review
1130,iuni,review
1123,iustus,adjective
1117,leontine,review
1097,lodicem,review
1086,lucius,review
1076,lucumo,review
1155,"lux, lucis",noun
1110,martias,review
1075,"mulier, mulieris",noun
1101,"multus, multa, multum",adjective
1105,mystagogus,review
1111,numisii,review
1102,"opus, operis",noun
1114,"par, piis",adjective
1141,pelias,review
1144,primuis,review
1128,"provideo, providere",review
1081,"quatio, quatere",review
1143,quorumc,review
1118,remmius,review
1121,renibus,review
1080,sautrane,review
1134,"sumo, sumere",review
1137,thorax,review
1084,"vernus, verna, vernum",review
1140,"verro, verrere",review
1109,vicic,review
1161,ἥσυχος,adjective
1233,ἔρως,noun
1179,"acanthus, acanthi",review
1160,"amabilis, amabiliis",review
1235,anchario,review
1196,"arbor, arboris",noun
