"EDR092812","Rend. Ac. Arch. Nap., 49, 1974, p. 26, nr. 7 (C. Giordano) (1)<br>HD003323 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR092812 (3)"
"EDR072274","Not. Sc. 1908, p. 280 (A. Sogliano) - AE 1909 (1)<br>AE 1909, 0044 (2)<br>CIL 04, 06851 (3)<br>HD019772 (4)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt Imagines, Roma 2012, vol. I, p. 282 con apografo (5)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR072274 (6)"
"EDR072282","AE 1909, 0054.<BR>HD019796"
"EDR072296","Rend. Ac. Linc. 1908, pp. 555-572 (G. Zottoli) - AE 1909 (1)<br>AE 1909, 0069 (2)<br>CIL 04, 07065 (3), cfr. p. 1909 (4)<br>CLE 2051 (5)<br>HD019841 (A. Scheithauer) (6)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR072296 (7)"
"EDR072421","Not. Sc., 1910, p. 403 (G. Spano) - AE 1911 (1)<br>AE 1911, 0073 (2)<br>CIL 04, 09161 (3)<br>HD028773 (4)"
"EDR071661","AE 1897, 0023 (1)<br>CIL 04, 04235 (2), cfr. p. 1818 (3)<br>CLE 351 (4)<br>HD022607 (5)<br>Arctos, 34, 2004, 43 (P. Kruschwitz) (6)<br>K. Milnor, Graffiti and the Literary Landscape in Roman Pompeii, Oxford 2014, p. 25 (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR071661 (8)"
"EDR071662","CIL 04, 04182 (1)<br>HD022610 (A. Scheithauer) (2)<br>A. Cooley and M. Cooley, Pompeii and Herculaneum: a Sourcebook (2 ed.), New York 2014, p. 230, nr. H4 (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR071662 (4)"
"EDR071722","Mitt. Deutsch. Arch. Inst. (Roemisch.) 1890, p. 31, no. 60 (A. Mau) (1) <br>Not. Sc. 1899, p. 233, no. 98 (A. Sogliano) (2) = AE 1899, 0212 (3)<br>CIL 04, 04411 (4)<br>HD011595 (5)<br>Anc. Hist. Bull. 22, 2008, p. 59 (J. Liu) (6)"
"EDR071808","AE 1901, 0181 (1)<br>CIL 04, 06796 con apografo (2)<br>HD032760 (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR071808 (4)"
"EDR071917","Not. Sc., 1902, p. 400 (R. Paribeni) - AE 1903 (1)<br>AE 1903, 0086 (2)<br>CIL 04, 06764 con apografo (3)<br>HD030957 (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR071917 (5)"
"EDR071918","Not. Sc. 27, 1902, p. 400 (R. Paribeni) - AE 1903, 0087. (1)<br>AE 1903, 0087. (2)<br>CIL 04, 06761 con apografo(3)<br>HD030960 (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR071918 (5)"
"EDR179444","A. Varone, Iscrizioni Parietali di Stabiae, Roma 2020, p. 85, nr. 227 con foto (1)"
"EDR072254","AE 1908, 0223.<BR>AE 1911, p. 57 s. n. 244.<BR>HD020822"
"EDR072555","AE 1912, 0258.<BR>HD028506"
"EDR072568","CIL 04, 09167 (1)<br>HD027009 (2)"
"EDR072601","AE 1913, 0101.<BR>HD027108"
"EDR072651","AE 1913, 0223.<BR>HD027417"
